"filename", "language", "XML", "Markdown", "Java Properties", "Java", "PostCSS", "HTML", "JavaScript", "Batch", "YAML", "comment", "blank", "total"
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 270, 0, 0, 5, 29, 304
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminAddBook.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminLogin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 10, 37
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminaddbookpage.css", "PostCSS", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 27, 156
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminstylesheet.css", "PostCSS", 0, 0, 0, 0, 440, 0, 0, 0, 0, 13, 72, 525
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/cart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 175, 0, 0, 6, 40, 221
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/cartstylesheet.css", "PostCSS", 0, 0, 0, 0, 206, 0, 0, 0, 0, 5, 30, 241
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 217, 0, 0, 4, 29, 250
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/indexstylesheet.css", "PostCSS", 0, 0, 0, 0, 441, 0, 0, 0, 0, 25, 81, 547
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginAdmin.css", "PostCSS", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginEntry.css", "PostCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginUser.css", "PostCSS", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/settings.css", "PostCSS", 0, 0, 0, 0, 156, 0, 0, 0, 0, 7, 25, 188
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/settings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 129, 0, 0, 5, 19, 153
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/signUp.css", "PostCSS", 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 12, 93
