Date : 2025-09-02 10:58:09
Directory : /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca
Total : 72 files,  5028 codes, 650 comments, 1065 blanks, all 6743 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/BookInventory.java          | Java            |         16 |          0 |          6 |         22 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/Cart.java                   | Java            |         53 |         40 |         13 |        106 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/CartController.java         | Java            |        147 |         26 |         31 |        204 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/CartRepository.java         | Java            |          6 |          0 |          4 |         10 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/HomeController.java         | Java            |         12 |          4 |          6 |         22 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/LoginEntryController.java   | Java            |         10 |          4 |          9 |         23 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/LogoutController.java       | Java            |         10 |          4 |          4 |         18 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/SettingsController.java     | Java            |         64 |         26 |          8 |         98 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/SignUpController.java       | Java            |         12 |          4 |          4 |         20 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/User.java                   | Java            |         82 |         56 |         26 |        164 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/UserController.java         | Java            |         86 |         26 |         31 |        143 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/java/com/example/app/UserRepository.java         | Java            |          8 |          1 |          6 |         15 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/application.properties                 | Java Properties |         10 |          0 |          5 |         15 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/admin.js                        | JavaScript      |        270 |          5 |         29 |        304 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminAddBook.js                 | JavaScript      |         25 |          0 |          2 |         27 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminLogin.js                   | JavaScript      |         27 |          0 |         10 |         37 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminaddbookpage.css            | PostCSS         |        129 |          0 |         27 |        156 |
